ID,Name,Module,Number,Value
1,"PROGR_HEADER2,PROGR_HEADER1",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Female
2,nrf1,E73-nrf51822-Module,1,E73-nrf51822
3,"D1,D2,D3,D4,D11,D12,D13,D14,D21,D22,D23,D24,D31,D32,D33,D34",D3_SMD_Back,16,D
4,RESET1,SW_SPST_CK_RS282G05A3,1,SW_SPST
5,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24
6,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,MF-NSMF050-2
7,R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1K
8,R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,10K
9,"R4,R3",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22
10,"R2,R1",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,5.1K
11,"C12,C11,C7",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,10uF
12,"C6,C5,C4",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,100nF
13,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,1uF
14,"C2,C1",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,2,22pF
15,U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-AU
16,D6,SOT-143,1,PRTR5V0U2X
17,USB1,HRO-TYPE-C-31-M-12-HandSoldering,1,HRO-TYPE-C-31-M-12
18,V_REG1,SOT-223,1,LD1117S33CTR
19,ConnFemale_Underglow1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female
20,"R13,R12,R11",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,1.5K
21,"K34,K33,K32,K31,K24,K23,K22,K21,K14,K13,K12,K11,K4,K3,K2,K1",Kailh_socket,16,KEYSW-redox_rev1-rescue
